sku	product-id	product-id-type	price	minimum-seller-allowed-price	maximum-seller-allowed-price	item-condition	quantity	add-delete	will-ship-internationally	expedited-shipping	item-note	fulfillment-center-id	merchant-shipping-group-name	product_tax_code
NWWOBA92676	1668154987TMB	2	4311			UsedGood	1	a						
NWWOBA92677	1668149100BMH	2	4567			UsedGood	1	a						
NWWOBA92678	1668117305DPB	2	4375			UsedGood	1	a						
NWWOBG587938	1668113380DPB	2	4567			UsedGood	1	a						
NWWOBA92679	1668108772DPB	2	4407			UsedGood	1	a						
NWWOBA92680	1668108635DPB	2	4583			UsedGood	1	a						
NWWOBA92681	1668101367DPB	2	4567			UsedGood	1	a						
NWWOBA92682	1668092747DPB	2	4567			UsedGood	1	a						
NWWOBA92683	1668092521BGB	2	4567			UsedGood	1	a						
NWWOBA92684	1668092378BGB	2	4567			UsedGood	1	a						
NWWOBG587939	1668089145MEP	2	4567			UsedGood	1	a						
NWWOBG587940	1668087561BAB	2	4407			UsedGood	1	a						
NWWOBA92685	1668086488CLB	2	4327			UsedGood	1	a						
NWWOBA92686	1668086151EMB	2	4567			UsedGood	1	a						
NWWOBA92687	1668083707MEP	2	4359			UsedGood	1	a						
NWWOBG587941	1668083511MHA	2	4567			UsedGood	1	a						
NWWOBA92688	1668077673EMB	2	4487			UsedGood	1	a						
NWWOBA92689	1668075727BTB	2	4567			UsedGood	1	a						
NWWOBA92690	1668074302LSA	2	4567			UsedGood	1	a						
NWWOBG587942	1668074119MEP	2	4567			UsedGood	1	a						
NWWOBA92691	1668073679EMB	2	4359			UsedGood	1	a						
NWWOBG587943	1668072934MHA	2	4567			UsedGood	1	a						
NWWOBA92692	1668067931LSA	2	4567			UsedGood	1	a						
NWWOBA92693	1668066461BAB	2	4567			UsedGood	1	a						
NWWOBA92694	1668064993BAB	2	4567			UsedGood	1	a						
NWWOBG587944	1668031450BGB	2	4567			UsedGood	1	a						
NWWOBG587945	1668030780BGB	2	4567			UsedGood	1	a						
NWWOBG587946	1668012659ANA	2	4567			UsedGood	1	a						
NWWOBG587947	1668008598BAB	2	4567			UsedGood	1	a						
NWWOBG587948	1668008124BAB	2	4567			UsedGood	1	a						
NWWOBA92695	1668003498MEP	2	4567			UsedGood	1	a						
NWWOBG587949	1668003207MHP	2	4567			UsedGood	1	a						
NWWOBG587950	1668002611MEP	2	4599			UsedGood	1	a						
NWWOBG587951	1668001602MEP	2	4567			UsedGood	1	a						
NWWOBG587952	1667999577BAB	2	4567			UsedGood	1	a						
NWWOBG587953	1667998433LSA	2	4407			UsedGood	1	a						
NWWOBA92696	1667997473MHP	2	4567			UsedGood	1	a						
NWWOBG587954	1667997260LSA	2	4391			UsedGood	1	a						
NWWOBA92697	1667994324MEP	2	4200			UsedGood	1	a						
NWWOBG587955	1667993285EMB	2	4567			UsedGood	1	a						
NWWOBA92698	1667993136LSA	2	4567			UsedGood	1	a						
NWWOBA92699	1667992289BAB	2	4567			UsedGood	1	a						
NWWOBA92700	1667991857EMB	2	4567			UsedGood	1	a						
NWWOBA92701	1667991758BIL	2	4567			UsedGood	1	a						
NWWOBA92702	1667991503EMB	2	4567			UsedGood	1	a						
NWWOBG587956	1667986665MHP	2	4327			UsedGood	1	a						
NWWOBG587957	1667985921ADA	2	4567			UsedGood	1	a						
NWWOBA92703	1667985736MHP	2	4567			UsedGood	1	a						
NWWOBA92704	1667983542LSA	2	4567			UsedGood	1	a						
NWWOBA92705	1667982494MHA	2	4567			UsedGood	1	a						
NWWOBG587958	1667982167MHP	2	4567			UsedGood	1	a						
NWWOBA92706	1667981485BTB	2	4567			UsedGood	1	a						
NWWOBG587959	1667980525MHP	2	4567			UsedGood	1	a						
NWWOBA92707	1678393980DPB	2	6979			UsedGood	1	a						
NWWOBG587960	1678393861DPB	2	5653			UsedGood	1	a						
NWWOBG587961	1678387693LEE	2	5637			UsedGood	1	a						
NWWOBA92708	1678384676BGB	2	7187			UsedGood	1	a						
NWWOBG587962	1678375247DPB	2	6851			UsedGood	1	a						
NWWOBA92709	1678366896TMB	2	8369			UsedGood	1	a						
NWWOBA92710	1678345096ADA	2	7938			UsedGood	1	a						
NWWOBG587963	1678284126IEV	2	6037			UsedGood	1	a						
NWWOBG587964	1678270201SEL	2	8433			UsedGood	1	a						
NWWOBG587965	1678269154MHP	2	5653			UsedGood	1	a						
NWWOBA92711	1678265671ADA	2	8097			UsedGood	1	a						
NWWOBG587966	1678258982ADA	2	6165			UsedGood	1	a						
NWWOBA92712	1678258783ADA	2	9807			UsedGood	1	a						
NWWOBG587967	1678257740ADA	2	8545			UsedGood	1	a						
NWWOBG587968	1678256777ADA	2	5829			UsedGood	1	a						
NWWOBG587969	1678256534ADA	2	7650			UsedGood	1	a						
NWWOBG587970	1678256130ADA	2	6819			UsedGood	1	a						
NWWOBA92713	1667979255BTB	2	4567			UsedGood	1	a						
NWWOBA92714	1667978353BTB	2	4200			UsedGood	1	a						
NWWOBG587971	1667978166MHA	2	4567			UsedGood	1	a						
NWWOBA92715	1667978018ADA	2	4567			UsedGood	1	a						
NWWOBG587972	1667976991MHP	2	4567			UsedGood	1	a						
NWWOBA92716	1667976355MHP	2	4567			UsedGood	1	a						
NWWOBA92717	1667928079IEV	2	4567			UsedGood	1	a						
NWWOBA92718	1667924409ADA	2	4567			UsedGood	1	a						
NWWOBA92719	1667923852IEV	2	4599			UsedGood	1	a						
NWWOBA92720	1667922061ADA	2	4567			UsedGood	1	a						
NWWOBG587973	1667920044MEP	2	4567			UsedGood	1	a						
NWWOBG587974	1667917836LSA	2	4567			UsedGood	1	a						
NWWOBA92721	1667915133LSA	2	4407			UsedGood	1	a						
NWWOBG587975	1667914758ADA	2	4567			UsedGood	1	a						
NWWOBG587976	1667913138ADA	2	4567			UsedGood	1	a						
NWWOBA92722	1667910856MHP	2	4567			UsedGood	1	a						
NWWOBG587977	1667910278MHP	2	4567			UsedGood	1	a						
NWWOBA92723	1667910040MHA	2	4567			UsedGood	1	a						
NWWOBG587978	1667904809CRO	2	4567			UsedGood	1	a						
NWWOBA92724	1667904682MHP	2	4567			UsedGood	1	a						
NWWOBA92725	1667904477IEV	2	4567			UsedGood	1	a						
NWWOBG587979	1667903155CRT	2	4327			UsedGood	1	a						
NWWOBA92726	1667902855EMB	2	4359			UsedGood	1	a						
NWWOBA92727	1667900479ANA	2	4567			UsedGood	1	a						
NWWOBA92728	1667899944LSA	2	4567			UsedGood	1	a						
NWWOBG587980	1667899363TMB	2	4567			UsedGood	1	a						
NWWOBG587981	1667898164IEV	2	4567			UsedGood	1	a						
NWWOBA92729	1667898076TMB	2	4567			UsedGood	1	a						
NWWOBA92730	1667897792TMB	2	4327			UsedGood	1	a						
NWWOBG587982	1667896954CRO	2	4168			UsedGood	1	a						
